Date,Open,High,Low,Close,Volume,pct_change,Lag1,Lag2,Lag3,MA_9,MA_21,MA_50,MA_150,MA_200,RSI_14,Target
2004-11-03,65.8,66.7,65.65,65.8,26661100.0,0.0,65.8,64.85,65.75,66.14,66.18,64.11,65.49,62.68,52.40350138203038,66.05
2004-11-04,65.8,66.45,65.7,66.05,15084300.0,0.0,65.8,65.8,64.85,66.11,66.2,64.11,65.51,62.75,53.778206057551344,66.2
2004-11-05,66.05,66.2,65.7,66.2,7516600.0,0.0,66.05,65.8,65.8,66.0,66.24,64.12,65.52,62.83,54.625017673790985,66.25
2004-11-08,66.2,66.5,66.0,66.25,9065100.0,0.0,66.2,66.05,65.8,65.97,66.27,64.14,65.54,62.89,54.92148242474288,66.3
2004-11-10,66.25,66.5,66.05,66.3,11718300.0,0.0,66.25,66.2,66.05,65.93,66.29,64.16,65.55,62.96,55.236449965904725,66.6
2004-11-12,66.3,67.0,66.3,66.6,17626200.0,0.0,66.3,66.25,66.2,65.96,66.3,64.2,65.56,63.03,57.1701055101715,66.2
2004-11-18,66.6,66.7,65.65,66.2,17600100.0,-0.01,66.6,66.3,66.25,66.01,66.29,64.23,65.57,63.1,53.83114249599876,66.2
2004-11-19,66.2,66.65,65.9,66.2,32110200.0,0.0,66.2,66.6,66.3,66.16,66.22,64.26,65.58,63.17,53.83114249599876,65.85
2004-11-22,66.2,66.15,65.65,65.85,12379600.0,-0.01,66.2,66.2,66.6,66.16,66.15,64.3,65.56,63.23,50.81919225834706,66.2
2004-11-23,65.85,66.55,66.05,66.2,14843000.0,0.01,65.85,66.2,66.2,66.21,66.2,64.35,65.54,63.29,53.61420555065693,66.5
2004-11-24,66.2,66.75,66.3,66.5,25576900.0,0.0,66.2,65.85,66.2,66.26,66.19,64.41,65.52,63.36,55.92630027400794,66.1
2004-11-25,66.5,66.5,66.0,66.1,11053500.0,-0.01,66.5,66.2,65.85,66.24,66.19,64.46,65.51,63.42,52.19088649008808,66.65
2004-11-26,66.1,67.0,65.9,66.65,36858700.0,0.01,66.1,66.5,66.2,66.29,66.21,64.53,65.48,63.49,56.49378687003872,66.8
2004-11-29,66.65,67.05,66.5,66.8,24966700.0,0.0,66.65,66.1,66.5,66.34,66.23,64.62,65.48,63.55,57.61421520217733,66.95
2004-11-30,66.8,67.3,66.8,66.95,26983000.0,0.0,66.8,66.65,66.1,66.38,66.22,64.73,65.48,63.62,58.758033007876094,66.75
2004-12-01,66.95,67.15,66.75,66.75,10146300.0,-0.0,66.95,66.8,66.65,66.44,66.23,64.88,65.46,63.69,56.56615342529357,66.35
2004-12-02,66.75,66.75,66.25,66.35,9546200.0,-0.01,66.75,66.95,66.8,66.46,66.21,64.99,65.45,63.76,52.359294866748904,66.25
2004-12-03,66.35,66.6,66.05,66.25,7933500.0,-0.0,66.35,66.75,66.95,66.51,66.21,65.12,65.44,63.83,51.33149195722945,66.7
2004-12-06,66.25,66.8,66.05,66.7,20804200.0,0.01,66.25,66.35,66.75,66.56,66.25,65.26,65.43,63.9,55.559112273662215,67.0
2004-12-07,66.7,67.0,66.65,67.0,1034000.0,0.0,66.7,66.25,66.35,66.62,66.36,65.42,65.42,63.98,58.16796950463595,66.95
2004-12-08,67.0,67.2,66.65,66.95,1747900.0,-0.0,67.0,66.7,66.25,66.71,66.41,65.59,65.41,64.05,57.5614666191728,67.25
2004-12-09,66.95,67.5,66.75,67.25,2461400.0,0.0,66.95,67.0,66.7,66.78,66.48,65.75,65.4,64.13,60.24019770401967,66.95
2004-12-10,67.25,67.7,66.75,66.95,2046000.0,-0.0,67.25,66.95,67.0,66.79,66.52,65.88,65.38,64.22,56.4059649972237,67.6
2004-12-13,66.95,67.85,67.0,67.6,2577400.0,0.01,66.95,67.25,66.95,66.87,66.59,66.02,65.38,64.31,62.04311315688322,66.25
2004-12-14,66.1,66.75,66.1,66.25,14582600.0,-0.02,67.6,66.95,67.25,66.81,66.59,66.11,65.37,64.39,48.1243075440281,66.65
2004-12-15,66.25,67.0,66.15,66.65,22573300.0,0.01,66.25,67.6,66.95,66.84,66.61,66.19,65.37,64.47,51.58973457169567,66.7
2004-12-16,66.65,67.25,66.4,66.7,20465000.0,0.0,66.65,66.25,67.6,66.89,66.61,66.26,65.36,64.54,52.02119106581618,67.0
2004-12-17,66.7,67.4,66.3,67.0,37435400.0,0.0,66.7,66.65,66.25,66.93,66.65,66.31,65.36,64.62,54.63376288802156,67.4
2004-12-20,67.0,67.65,67.2,67.4,36800500.0,0.01,67.0,66.7,66.65,66.97,66.71,66.37,65.36,64.69,57.9236447938182,67.9
2004-12-21,67.4,68.25,67.3,67.9,55414200.0,0.01,67.4,67.0,66.7,67.08,66.8,66.45,65.37,64.77,61.66585381544125,70.8
2004-12-22,67.9,71.15,67.95,70.8,181348600.0,0.04,67.9,67.4,67.0,67.47,67.02,66.55,65.4,64.86,75.35611591959594,71.4
2004-12-23,70.8,71.75,70.55,71.4,101742100.0,0.01,70.8,67.9,67.4,67.97,67.26,66.67,65.42,64.95,77.17255644145442,73.25
2004-12-24,71.4,74.0,71.0,73.25,136061300.0,0.03,71.4,70.8,67.9,68.59,67.6,66.82,65.45,65.05,81.66097565576975,72.55
2004-12-27,73.25,73.9,72.1,72.55,48964500.0,-0.01,73.25,71.4,70.8,69.29,67.88,66.96,65.48,65.15,75.60353416813774,73.05
2004-12-28,72.55,73.65,71.75,73.05,58412600.0,0.01,72.55,73.25,71.4,70.01,68.18,67.09,65.51,65.25,76.92045180448666,72.95
2004-12-29,73.05,73.5,72.8,72.95,22471000.0,-0.0,73.05,72.55,73.25,70.7,68.46,67.22,65.54,65.34,76.03641970469455,72.2
2004-12-30,72.95,74.25,71.85,72.2,80622400.0,-0.01,72.95,73.05,72.55,71.28,68.72,67.31,65.57,65.43,69.57775734574017,74.95
2004-12-31,72.2,75.35,72.3,74.95,180022800.0,0.04,72.2,72.95,73.05,72.12,69.13,67.46,65.61,65.53,77.21881329075407,74.35
2005-01-03,74.95,75.3,74.1,74.35,42929500.0,-0.01,74.95,72.2,72.95,72.83,69.52,67.65,65.64,65.63,72.91566573224311,74.5
2005-01-04,74.35,74.75,73.6,74.5,44469100.0,0.0,74.35,74.95,72.2,73.24,69.89,67.8,65.69,65.73,73.31601450683382,74.2
2005-01-05,74.5,75.65,74.0,74.2,62908200.0,-0.0,74.5,74.35,74.95,73.56,70.23,67.96,65.73,65.82,71.0538578335155,74.35
2005-01-06,74.2,74.75,74.0,74.35,28021000.0,0.0,74.2,74.5,74.35,73.68,70.58,68.13,65.8,65.9,71.52691437628128,72.6
2005-01-07,74.35,74.4,71.05,72.6,40568800.0,-0.02,74.35,74.2,74.5,73.68,70.84,68.25,65.84,65.97,59.34215052743919,73.5
2005-01-10,72.6,74.3,72.6,73.5,44329100.0,0.01,72.6,74.35,74.2,73.73,71.15,68.38,65.89,66.04,62.84745199342572,79.0
2005-01-11,73.5,79.0,73.7,79.0,207292700.0,0.07,73.5,72.6,74.35,74.41,71.69,68.63,65.97,66.14,76.2966337196379,77.65
2005-01-12,79.0,80.9,77.45,77.65,125842400.0,-0.02,79.0,73.5,72.6,75.01,72.24,68.85,66.04,66.23,69.63346197043265,73.8
2005-01-13,77.65,77.9,73.8,73.8,64648500.0,-0.05,77.65,79.0,73.5,74.88,72.58,69.0,66.1,66.29,54.906556939121835,76.7
2005-01-14,73.8,77.95,72.6,76.7,145842400.0,0.04,73.8,77.65,79.0,75.14,73.05,69.22,66.18,66.37,61.50990816664736,77.0
2005-01-17,76.7,77.75,75.75,77.0,58810400.0,0.0,76.7,73.8,77.65,75.42,73.53,69.46,66.27,66.45,62.12775383284309,76.5
2005-01-18,77.0,77.65,76.4,76.5,27064800.0,-0.01,77.0,76.7,73.8,75.68,73.96,69.67,66.35,66.52,60.38789356168801,79.05
2005-01-19,76.5,79.7,76.55,79.05,138336400.0,0.03,76.5,77.0,76.7,76.2,74.49,69.94,66.44,66.6,65.66842155856635,80.4
2005-01-24,79.05,81.4,79.6,80.4,113329000.0,0.02,79.05,76.5,77.0,77.07,74.95,70.23,66.55,66.69,68.09340170966652,82.3
2005-01-25,80.4,82.9,80.95,82.3,171975100.0,0.02,80.4,79.05,76.5,78.04,75.47,70.55,66.67,66.78,71.17892679356028,81.75
2005-01-26,82.3,83.4,81.6,81.75,87525800.0,-0.01,82.3,80.4,79.05,78.35,75.87,70.86,66.81,66.87,69.09590106811864,82.15
2005-01-27,81.75,82.9,80.85,82.15,56463600.0,0.0,81.75,82.3,80.4,78.85,76.33,71.17,66.94,66.96,69.78836851479421,80.7
2005-01-28,82.15,83.9,79.3,80.7,116494700.0,-0.02,82.15,81.75,82.3,79.62,76.7,71.46,67.07,67.04,64.17478256536785,81.0
